Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Astrocade/Manuals/280 ZZZAP + Dodgem.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2F280%20ZZZAP%20%2B%20Dodgem.pdf,371752,4f1d7c0a52f0d481007c21910c1a5386,,,280 ZZZAP + Dodgem.pdf
docs/Astrocade/Manuals/Amazing Maze + Tic-Tac-Toe.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FAmazing%20Maze%20%2B%20Tic-Tac-Toe.pdf,427611,fd343a991f78dc9bba17b79418ae54f6,,,Amazing Maze + Tic-Tac-Toe.pdf
docs/Astrocade/Manuals/Artillery Duel.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FArtillery%20Duel.pdf,796199,0e146bbf172ed00d62e711e79f8b3846,,,Artillery Duel.pdf
docs/Astrocade/Manuals/Astro Battle.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FAstro%20Battle.pdf,298364,3ca9947b46814fb912cc2a2883703620,,,Astro Battle.pdf
docs/Astrocade/Manuals/Bally Pin.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FBally%20Pin.pdf,444806,356c0c512633102b3fb7f7023bc6e8e4,,,Bally Pin.pdf
docs/Astrocade/Manuals/BioRhythm.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FBioRhythm.pdf,991932,cff0d97700442e5b3b4581688030adaf,,,BioRhythm.pdf
docs/Astrocade/Manuals/Blackjack + Poker + Acey-Deucy.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FBlackjack%20%2B%20Poker%20%2B%20Acey-Deucy.pdf,277804,906db55953827d4994026b99ad14c5a6,,,Blackjack + Poker + Acey-Deucy.pdf
docs/Astrocade/Manuals/Blast Droids.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FBlast%20Droids.pdf,1008027,b840daf5d50a818fcbfc2206a201c517,,,Blast Droids.pdf
docs/Astrocade/Manuals/Bowling.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FBowling.pdf,63211,4f671459638fd05e5435c350ce09d7f1,,,Bowling.pdf
docs/Astrocade/Manuals/Brickyard + Clowns.pdf,https://archive.org/download/mister-manuals/1978_Bally%20Astrocade.zip/1978_Bally%20Astrocade%2FBrickyard%20%2B%20Clowns.pdf,712785,a425f9b63167dfd837cf4cac2c10b4d2,,,Brickyard + Clowns.pdf
